sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable
BOOK-04.23-10-2732482544	X001RDQ8LR	2732482544	Un demi-siècle dans l'Himalaya	New	400.81	No		Yes	8	8	0	0	8	2643.07	0	0	0	0	0	0
BOOK-04.23-2,29-2747096424	X001RDQ94X	2747096424	Un livre	New	137.44	No		Yes	1	1	0	0	1	270.06	0	0	0	0	0	0
BOOK-04.23-2,71-2813220337	X001RF3A75	2813220337	280 huiles essentielles (Poche)	New	122.70	No		Yes	0	0	0	0	0	336.1	0	0	0	0	0	0
BOOK-04.23-2,85-B07B14J3S4	X001RE2WWZ	B07B14J3S4	Hergé de Profil - Une étoile plus mystérieuse du tout !	New	148.74	No		Yes	0	0	0	0	0	712.84	0	0	0	0	0	0
BOOK-04.23-2,89-2745994840	X001RE5RIV	2745994840	Le collège noir, Tome 02: Le livre de la pierre	New	123.86	No		Yes	0	0	0	0	0	490.3	0	0	0	0	0	0
BOOK-04.23-2,92-2747098133	X001RE2BXZ	2747098133	Les dragons de Nalsara compilation, Tome 03: Le danger venu de la mer	New	100.26	No		Yes	0	0	0	0	0	477.52	0	0	0	0	0	0
BOOK-04.23-2,92-2755629150	X001RE2SUL	2755629150	Calendar Girl - Avril	New	106.50	No		Yes	0	0	0	0	0	413.77	0	0	0	0	0	0
BOOK-04.23-2,92-281321759X	X001RE2ASB	281321759X	Le guide de la femme heureuse (Poche)	New	116.10	No		Yes	0	0	0	0	0	336.1	0	0	0	0	0	0
BOOK-04.23-2,93-2210558026	X001RE306H	2210558026	Outils pour les maths CM1: Programmes 2008	New	129.36	No		Yes	0	0	0	0	0	533.07	0	0	0	0	0	0
BOOK-04.23-2,93-2365492215	X001RDSBSP	2365492215	Maigrir sereinement avec les thérapies cognitives et comportementales (TCC): Cahier d'exercices pour apprivoiser son appétit	New	156.94	No		Yes	0	0	0	0	0	571.25	0	0	0	0	0	0
BOOK-04.23-2,93-2745988271	X001RDXMRP	2745988271	Le journal d'une grosse nouille, Tome 11: Une amitié aigre-douce	New	155.20	No		Yes	0	0	0	0	0	608.78	0	0	0	0	0	0
BOOK-04.23-2,93-2745996053	X001RE2DHT	2745996053	Lili Goth, Tome 04: La symphonie sinistre	New	154.79	No		Yes	0	0	0	0	0	631.72	0	0	0	0	0	0
BOOK-04.23-2,97-2747091295	X001RDSBZX	2747091295	J'ai confiance en moi !	New	128.13	No		Yes	0	0	0	0	0	679.08	0	0	0	0	0	0
BOOK-04.23-3,08-2354902042	X001RF770V	2354902042	Les Femmes de la Bible: Les vierges, les épouses, les rebelles, les séductrices, les prophétesses, les prostituées...	New	106.54	No		Yes	0	0	0	0	0	269.08	0	0	0	0	0	0
BOOK-04.23-3,08-2408019230	X001RF3E8F	2408019230	Mon cahier de bêtises NE	New	143.64	No		Yes	0	0	0	0	0	1284.09	0	0	0	0	0	0
BOOK-04.23-3,09-2702913032	X001RE29KF	2702913032	Essaie encore, échoue encore, échoue mieux: Conseils de sagesse pour aller de l'avant	New	145.68	No		Yes	0	0	0	0	0	473.59	0	0	0	0	0	0
BOOK-04.23-3,09-2745907336	X001RDQ59H	2745907336	Touche-à-tout !	New	160.80	No		Yes	0	0	0	0	0	1546.94	0	0	0	0	0	0
BOOK-04.23-3,09-2745976508	X001RE2TXR	2745976508	Souffle !	New	190.63	No		Yes	0	0	0	0	0	594.03	0	0	0	0	0	0
BOOK-04.23-3,09-274599218X	X001RE62FX	274599218X	Skate: Technique, pratique, champions	New	156.50	No		Yes	1	1	0	0	1	808.54	0	0	0	0	0	0
BOOK-04.23-3,09-2813217433	X001RDSAY5	2813217433	Cette expérience inouïe qui a bouleversé ma vie	New	155.69	No		Yes	2	2	0	0	2	414.76	0	0	0	0	0	0
BOOK-04.23-3,16-2754075607	X001RFFL77	2754075607	La Grossesse pour les Nuls en BD	New	152.31	No		Yes	5	5	0	0	5	722.34	0	0	0	0	0	0
BOOK-04.23-3,33-2850767581	X001RE2UJ5	2850767581	César l'enchanteur	New	210.65	No		Yes	0	0	0	0	0	901.78	0	0	0	0	0	0
BOOK-04.23-3,42-2354133901	X001RE2BLR	2354133901	Fleurs de rêve: Avec 10 planches à gratter, modèles, stylet	New	151.19	No		Yes	0	0	0	0	0	605.01	0	0	0	0	0	0
